,f_name,l_name,gender,face,ssn
0,روضة,ذاكر زين راكان,F,system_images/Y27913.jpg,٣ ٣   ٥ ٠ ٤   ٤ ١   ٧ ٩   ٥ ٠   ٥ ٣   ٤
1,وردة,راسخ رائف مهاب,F,system_images/Y27932.jpg,٥ ٨   ٧ ١ ٩   ٧ ١   ٨ ٢   ٤ ٤   ٧ ٩   ٩
2,هدى,ماهر بدر محبوب,F,system_images/Y27944.jpg,٤ ٦   ٧ ٥ ١   ٣ ١   ٦ ٣   ٢ ٣   ٠ ٤   ٣
3,رولا,تامر حارب مسلمة,F,system_images/Y27946.jpg,٨ ٩   ٨ ٧ ٧   ٢ ٤   ٩ ٩   ٠ ٧   ٢ ٢   ٩
4,سها,ساري اسلم نبيه,F,system_images/Y27947.jpg,٦ ٥   ١ ٦ ١   ٣ ٦   ٩ ٢   ٩ ٢   ٤ ٢   ٥
5,انتظار,عقاب أنعم رضي,F,system_images/Y27951.jpg,٧ ٣   ٣ ٠ ٩   ٧ ٥   ٧ ٦   ٠ ٠   ١ ٦   ٥
6,جنا,جمال شاهد أحنف,F,system_images/Y27952.jpg,١ ٥   ٨ ٠ ٨   ٠ ٥   ٩ ٠   ١ ٩   ٨ ٨   ٨
7,شيهانة,عبدالوهاب مجيد حجاب,F,system_images/Y27953.jpg,٤ ٥   ٠ ٣ ٢   ٤ ٤   ٢ ٢   ٠ ٠   ٣ ٤   ٣
8,ظافرة,ثواب مغيرة نبيل,F,system_images/Y27954.jpg,٨ ٥   ٨ ١ ٣   ٩ ٩   ٦ ٨   ٠ ٣   ٤ ١   ٧
9,نشوى,بشارة سارح غريب,F,system_images/Y27956.jpg,١ ٧   ٥ ١ ٤   ٩ ٨   ٨ ٢   ٦ ١   ٧ ٩   ٧
10,حكمت,حصيف بشير هلال,F,system_images/Y27957.jpg,٦ ٥   ٢ ٦ ٧   ٥ ٩   ٨ ٦   ٦ ٢   ٣ ٨   ٦
11,فادية,رجب جودت رائد,F,system_images/Y27961.jpg,٣ ٨   ١ ١ ١   ٤ ٦   ٦ ٣   ٤ ١   ٧ ٣   ١
12,إنصاف,رغال ستار إسماعيل,F,system_images/Y27994.jpg,٣ ٥   ١ ٠ ٢   ٨ ٩   ٢ ٣   ٩ ٥   ٧ ٠   ١
13,عالية,عدوان راكان إدريس,F,system_images/Y27995.jpg,١ ٤   ٥ ٧ ٢   ٠ ٣   ١ ٨   ٩ ٣   ٠ ١   ٨
14,إيمان,رائد فاروق مظفر,F,system_images/Y28046.jpg,٥ ٨   ١ ١ ٥   ٢ ٢   ٦ ٣   ٧ ٦   ٠ ٥   ٧
15,لجين,مزهر أنس فوزي,F,system_images/Y28079.jpg,٥ ٤   ٨ ٧ ٧   ١ ٩   ١ ٤   ٧ ٦   ٧ ٥   ٧
16,بشيرة,رابح أديب نصيف,F,system_images/Y28092.jpg,٤ ٩   ٥ ٨ ٧   ٧ ٩   ٤ ٣   ٠ ٦   ٨ ٠   ٤
17,إقدام,نامي قدامة حسنين,F,system_images/Y28105.jpg,٣ ٩   ٨ ٧ ٠   ٣ ٤   ٨ ٥   ١ ٥   ٦ ٨   ٧
18,تماني,عبدالرشيد ساري كلاب,F,system_images/Y28109.jpg,٠ ١   ١ ٣ ٣   ٥ ٧   ٥ ٥   ٦ ٢   ٨ ٦   ٠
19,سهام,سلمان جمعان شهم,F,system_images/Y28112.jpg,٠ ٦   ٥ ٢ ٧   ٠ ٦   ١ ٤   ٨ ٣   ٤ ٩   ٦
20,ميساء,رمضان بطرس غريب,F,system_images/Y28113.jpg,٤ ١   ٩ ٢ ٠   ١ ٩   ٤ ٣   ٩ ١   ٥ ٣   ٠
21,مساعدة,أخزم أكبر أسد,F,system_images/Y28115.jpg,٢ ٨   ٤ ٣ ٧   ٦ ٢   ٤ ٩   ٧ ٦   ٥ ٦   ٩
22,هيام,خضر نظمي مشعل,F,system_images/Y28149.jpg,٩ ٤   ٨ ١ ٠   ٢ ٤   ٩ ٠   ٣ ٠   ٨ ٦   ٧
23,نهى,رابح هبيرة ضاري,F,system_images/Y28150.jpg,٦ ١   ٦ ٥ ٠   ١ ٦   ٥ ٠   ٧ ١   ٧ ١   ٩
24,فتون,لباب صدام زاكي,F,system_images/Y28178.jpg,٦ ٩   ٨ ٧ ٣   ٨ ٧   ٩ ٧   ٤ ٥   ٠ ٦   ٢
25,شاهدة,ناصر منصف محمد,F,system_images/Y28181.jpg,٨ ٤   ٤ ٧ ٦   ٤ ٣   ٥ ٧   ٣ ٧   ٠ ٥   ٤
26,رند,خليوي ناصر وديع,F,system_images/Y28187.jpg,٤ ٠   ١ ٠ ٦   ٦ ٤   ٤ ٢   ٩ ٩   ٣ ٦   ١
27,أروى,ساعف غسان مرزوق,F,system_images/Y28189.jpg,٤ ٥   ٦ ٤ ١   ٨ ٧   ٤ ٢   ٩ ٠   ١ ٧   ٩
28,عابدة,قداح رجاء شمس الدين,F,system_images/Y28230.jpg,٦ ٢   ٦ ٠ ٩   ٣ ٣   ٧ ٢   ٢ ١   ٨ ٨   ١
29,ظافرة,عبيدة سميح هواري,F,system_images/Y28231.jpg,٤ ٠   ٧ ٨ ٨   ٨ ٠   ٦ ٥   ٩ ٠   ٤ ٦   ٧
30,عابدة,رفيق عنبر عبدالوهاب,F,system_images/Y28232.jpg,٧ ٠   ٠ ٤ ٦   ١ ٥   ٦ ٢   ٢ ١   ٧ ٦   ٥
31,عابدة,نظير مظفر أكثم,F,system_images/Y28251.jpg,٨ ٢   ٢ ٣ ٥   ٧ ٧   ٩ ٩   ٦ ٨   ٩ ٤   ٧
32,بارعة,فهيم طريف قاهر,F,system_images/Y28262.jpg,١ ٠   ٠ ٧ ٢   ٣ ١   ٠ ٠   ٣ ٥   ٤ ٠   ٢
33,نور,عصام مديد جميل,F,system_images/Y28263.jpg,٠ ٤   ١ ٠ ٤   ٠ ٢   ٥ ٥   ٨ ٣   ٤ ٣   ٥
34,رفيف,عدي عبداللطيف معن,F,system_images/Y28266.jpg,٩ ٥   ٤ ٦ ٣   ٧ ٣   ٣ ٣   ٥ ٤   ٧ ١   ٩
35,يسرا,عبدالعليم رعد أجيد,F,system_images/Y28268.jpg,٣ ٥   ٩ ٠ ٠   ٧ ٢   ٥ ٥   ٦ ٦   ٦ ٤   ٧
36,سؤدد,رضي بشير ساطع,F,system_images/Y28269.jpg,٢ ٠   ٢ ٩ ٥   ٤ ١   ٧ ٢   ٢ ٩   ١ ٦   ٥
37,ضياء,دعيج فخر فيض,F,system_images/Y28270.jpg,٤ ٠   ٨ ٥ ٩   ٠ ٥   ٨ ٢   ٤ ٣   ٣ ٧   ٨
38,ياسمين,باتل ستار درغام,F,system_images/Y28272.jpg,٣ ٣   ٦ ٦ ٦   ٣ ٢   ٩ ٠   ٩ ٠   ٥ ٨   ٩
39,إيمان,هادي ربيح جليل,F,system_images/Y28273.jpg,٦ ٤   ٠ ٣ ٤   ١ ٩   ٤ ٢   ٠ ٦   ٧ ٣   ٠
40,ليال,عصمت عزيز منان,F,system_images/Y28274.jpg,٨ ٠   ٧ ٣ ١   ٣ ٦   ٠ ١   ٠ ٨   ٥ ٠   ١
41,عهد,شافي عامر نافع,F,system_images/Y28275.jpg,٤ ٤   ٧ ٢ ٤   ٢ ٤   ٦ ٩   ٨ ٧   ٢ ٦   ٥
42,غرام,عبدالواحد عبدالواحد فالح,F,system_images/Y28289.jpg,٧ ٨   ٦ ٣ ١   ٠ ١   ٤ ٥   ٥ ١   ٤ ٣   ٣
43,رفيعة,هزاع رصين علوان,F,system_images/Y28306.jpg,٣ ٨   ٦ ١ ٥   ٦ ٢   ٠ ٩   ٩ ٣   ٥ ٦   ٥
44,صابرة,أيسر خاتم لباب,F,system_images/Y28307.jpg,٥ ٣   ٥ ٧ ٧   ٨ ١   ٥ ٠   ٤ ٢   ١ ٤   ٦
45,تودد,مخلص وهاب ركين,F,system_images/Y28308.jpg,٣ ٧   ٠ ٨ ٠   ١ ٢   ٩ ٩   ٢ ٨   ٤ ٦   ٨
46,ماريا,جلال وائل أبلج,F,system_images/Y28336.jpg,٢ ٣   ٤ ٧ ٤   ٠ ٩   ٩ ٧   ٠ ٣   ٨ ٢   ٥
47,أمجاد,صائن مزاحم مجير,F,system_images/Y28365.jpg,١ ٤   ٥ ٨ ٣   ٣ ٤   ٩ ١   ٣ ٦   ٤ ٠   ٩
48,بازعة,مقتدي بليغ عز,F,system_images/Y28377.jpg,٧ ٧   ٦ ٠ ٧   ٣ ٣   ٩ ٨   ٣ ٧   ٢ ٠   ٠
49,جنى,مهيب ملهم عبدالودود,F,system_images/Y28405.jpg,٢ ٠   ٦ ٣ ٠   ٥ ٠   ١ ٣   ٨ ٨   ٢ ٣   ٦
50,فردوس,ساجع ذاكر راغد,F,system_images/Y28406.jpg,٩ ٥   ٤ ٩ ٣   ٧ ٣   ٤ ٢   ٠ ٧   ١ ٧   ٨
51,لطفية,شمر قسام سادن,F,system_images/Y28407.jpg,١ ٦   ٨ ٧ ١   ٦ ٩   ٧ ١   ٨ ٠   ٧ ٣   ٥
52,خولة,المثنى ناشر سالم,F,system_images/Y28409.jpg,٩ ٨   ٣ ٥ ٠   ٧ ٨   ٦ ٢   ٠ ٧   ٠ ٣   ١
53,لين,حسن ناظم عقال,F,system_images/Y28411.jpg,٠ ٧   ١ ٢ ٢   ٢ ٢   ٠ ١   ٦ ٧   ٤ ٠   ١
54,ساهدة,ناصيف عفان إدريس,F,system_images/Y28412.jpg,٦ ٦   ١ ٨ ٣   ٩ ٠   ٧ ١   ٥ ٣   ٥ ٩   ٨
55,حصة,مخلف أغيد ساري,F,system_images/Y28414.jpg,٤ ٩   ١ ٥ ١   ٥ ٩   ٩ ٣   ٩ ١   ٨ ٠   ٥
56,جنا,عبادة ساجد شبل,F,system_images/Y28415.jpg,٧ ١   ٦ ٤ ٢   ٩ ٥   ٨ ٤   ٧ ٨   ٢ ٣   ٨
57,غزل,غفار دغيم شكور,F,system_images/Y28416.jpg,٨ ٧   ٨ ٤ ٦   ١ ٠   ٠ ٥   ٧ ٨   ٨ ٦   ٢
58,مخلصة,نصير مهيب نوفل,F,system_images/Y28418.jpg,٢ ٢   ٤ ٢ ٢   ٧ ١   ٣ ٨   ٩ ٦   ٣ ٦   ٥
59,أنغام,حاشد عبدالرحيم بادي,F,system_images/Y28419.jpg,٠ ٨   ٦ ٧ ٤   ٨ ٠   ٣ ٣   ٧ ١   ٤ ٤   ١
60,فتحية,زايد الحبيب حجر,F,system_images/Y28420.jpg,٩ ٦   ٤ ٥ ١   ٨ ٨   ٣ ٢   ٦ ١   ٥ ٤   ٣
